Aerial View,Vista aérea,52
Aircraft,Aeronave,51
Architecture,Arquitectura,54
Building,Edificio,54
Bus Stop,Parada de autobús,52
Car,Auto,81
City,Ciudad,63
Freeway,autopista,99
Grass,Césped,52
Gravestone,Lápida sepulcral,50
Guard Rail,Barandilla,50
Highway,Carretera,96
Horizon,Horizonte,50
House,Casa,51
Housing,Alojamiento,54
Landmark,Marca,51
Lawn,Césped,50
Moving Van,furgoneta de mudanza,51
Nature,Naturaleza,53
Outdoors,Al aire libre,72
Overpass,Paso superior,51
Path,Camino,53
Person,Persona,50
Plant,Planta,52
Rain,Lluvia,53
Road,Camino,100
Running,Correr,50
Sky,Cielo,53
Storm,Tormenta,51
Street,Calle,63
Suburb,Suburbio,58
Takeoff,Despegar,51
Tarmac,Pista,52
Tomb,Tumba,50
Tornado,Tornado,50
Tower,Torre,52
Transportation,Transporte,81
Urban,Urbano,63
Utility Pole,Poste de servicios públicos,52
Van,Furgoneta,51
Vegetation,Vegetación,50
Vehicle,Vehículo,81
Weather,Clima,53
Aircraft,Aeronave,50
Architecture,Arquitectura,52
Building,Edificio,52
Bus Stop,Parada de autobús,53
Car,Auto,76
City,Ciudad,88
Freeway,autopista,100
Grass,Césped,54
Guard Rail,Barandilla,51
Highway,Carretera,100
Horizon,Horizonte,50
House,Casa,50
Housing,Alojamiento,52
Lawn,Césped,51
Moving Van,furgoneta de mudanza,52
Nature,Naturaleza,54
Outdoors,Al aire libre,76
Overpass,Paso superior,53
Path,Camino,56
Pickup Truck,camioneta,50
Plant,Planta,54
Road,Camino,100
Scenery,Escenario,51
Sidewalk,Acera,52
Sky,Cielo,54
Storm,Tormenta,51
Street,Calle,88
Suburb,Suburbio,56
Takeoff,Despegar,50
Tarmac,Pista,53
Tower,Torre,50
Transportation,Transporte,76
Tree,Árbol,50
Truck,Camión,50
Urban,Urbano,88
Utility Pole,Poste de servicios públicos,54
Van,Furgoneta,52
Vegetation,Vegetación,50
Vehicle,Vehículo,76
Weather,Clima,53
Aircraft,Aeronave,50
Architecture,Arquitectura,51
Building,Edificio,51
Bus Stop,Parada de autobús,52
Car,Auto,85
City,Ciudad,93
Cloud,Nube,50
Cumulus,Cúmulo,50
Freeway,autopista,100
Grass,Césped,54
Guard Rail,Barandilla,52
