Adult,Adulto,96
Car,Auto,50
Chasing,Persecución,92
Female,Femenino,96
Fighting,Lucha,50
Head,Cabeza,81
Male,Masculino,65
Man,Hombre,65
Outdoors,Al aire libre,55
Person,Persona,97
Riot,Disturbio,53
Skating,Patinaje,51
Sport,Deporte,51
Transportation,Transporte,51
Vehicle,Vehículo,51
Woman,Mujer,96
Adult,Adulto,89
Car,Auto,79
Chasing,Persecución,94
Female,Femenino,89
Fighting,Lucha,51
Head,Cabeza,68
Male,Masculino,58
Man,Hombre,58
Outdoors,Al aire libre,56
Person,Persona,96
Riot,Disturbio,55
Skating,Patinaje,50
Sport,Deporte,50
Transportation,Transporte,79
Vehicle,Vehículo,79
Woman,Mujer,89
Adult,Adulto,89
Bicycle,Bicicleta,51
Car,Auto,81
Chasing,Persecución,82
Fallen Person,persona caida,50
Female,Femenino,89
Head,Cabeza,70
Male,Masculino,61
Man,Hombre,61
Moped,Ciclomotor,51
Motor Scooter,Scooter de motor,51
Motorcycle,Motocicleta,51
Outdoors,Al aire libre,63
Person,Persona,92
Riot,Disturbio,52
Skating,Patinaje,53
Sport,Deporte,53
Transportation,Transporte,81
Vehicle,Vehículo,81
Woman,Mujer,89
Adult,Adulto,81
Arrest,Detención,50
Car,Auto,69
Chasing,Persecución,83
Fallen Person,persona caida,51
Female,Femenino,81
Fighting,Lucha,50
Head,Cabeza,76
Male,Masculino,64
Man,Hombre,64
Outdoors,Al aire libre,58
Person,Persona,95
Riot,Disturbio,53
Skating,Patinaje,50
Sport,Deporte,50
Transportation,Transporte,69
Vehicle,Vehículo,69
Woman,Mujer,81
Adult,Adulto,93
Arrest,Detención,50
Car,Auto,79
Chasing,Persecución,56
Fallen Person,persona caida,50
Female,Femenino,93
Head,Cabeza,74
Male,Masculino,59
Man,Hombre,59
Outdoors,Al aire libre,86
Person,Persona,97
Riot,Disturbio,52
Transportation,Transporte,79
Vehicle,Vehículo,79
Woman,Mujer,93
Adult,Adulto,77
Car,Auto,56
Chasing,Persecución,53
Fallen Person,persona caida,51
Female,Femenino,77
Head,Cabeza,72
Male,Masculino,62
Man,Hombre,62
Outdoors,Al aire libre,77
Person,Persona,96
Riot,Disturbio,61
Transportation,Transporte,56
Vehicle,Vehículo,56
Woman,Mujer,77
Adult,Adulto,84
Car,Auto,67
Chasing,Persecución,52
Fallen Person,persona caida,51
Female,Femenino,84
Head,Cabeza,50
Male,Masculino,67
Man,Hombre,67
Outdoors,Al aire libre,82
Person,Persona,94
Riot,Disturbio,54
Transportation,Transporte,67
Vehicle,Vehículo,67
Woman,Mujer,84
Adult,Adulto,80
Aerial View,Vista aérea,50
Arrest,Detención,50
Car,Auto,76
Chasing,Persecución,52
Fallen Person,persona caida,52
Female,Femenino,80
Fighting,Lucha,50
Head,Cabeza,61
Male,Masculino,51
Man,Hombre,51
Outdoors,Al aire libre,80
Person,Persona,84
Riot,Disturbio,53
Transportation,Transporte,76
Vehicle,Vehículo,76
Woman,Mujer,80
Adult,Adulto,72
Aerial View,Vista aérea,52
Architecture,Arquitectura,53
Building,Edificio,53
Car,Auto,80
Chasing,Persecución,53
Fallen Person,persona caida,51
Female,Femenino,72
Head,Cabeza,65
House,Casa,51
Housing,Alojamiento,53
Male,Masculino,56
Man,Hombre,56
Outdoors,Al aire libre,85
Person,Persona,84
Riot,Disturbio,50
Skating,Patinaje,51
Sport,Deporte,51
Suburb,Suburbio,52
Transportation,Transporte,80
Vehicle,Vehículo,80
Woman,Mujer,72
Adult,Adulto,87
Aerial View,Vista aérea,52
Architecture,Arquitectura,53
Bicycle,Bicicleta,50
Building,Edificio,53
Car,Auto,85
